titulo,autor,genero,sinopse
Principe Cruel,Holly Black,Fantasia,"Jude tinha apenas sete anos quando seus pais foram brutalmente assassinados e ela, junto com suas irmãs, foi levada para viver no traiçoeiro Reino das Fadas. Dez anos depois, tudo o que Jude deseja é conquistar seu lugar na Corte, mesmo sendo uma mortal desprezada pelos feéricos. Entre intrigas, jogos políticos e perigos constantes, ela precisa enfrentar o príncipe Cardan — cruel, arrogante e imprevisível — para provar sua força. Conforme mergulha nesse universo mágico e violento, Jude descobre sua vocação para manipulação e poder, e se vê envolvida em uma trama de traições que pode mudar o destino de Elfhame"

Opúsculo Humanitário,Nísia Floresta,Ensaio,"Uma obra pioneira do pensamento feminista no Brasil, onde Nísia Floresta defende os direitos das mulheres à educação e à participação social. Com linguagem firme e argumentos progressistas para a época, o texto propõe uma reflexão sobre o papel feminino na sociedade patriarcal do século XIX."

Nebulosas,Narcisa Amália,Poesia,"Coletânea de poemas que exploram os sentimentos humanos com intensidade e lirismo. Narcisa Amália aborda temas como amor, dor, liberdade e injustiça, revelando uma voz feminina forte e crítica em meio ao contexto literário dominado por homens."

Memórias de Martha,Julia Lopes de Almeida,Romance,"Narrativa intimista que acompanha a vida de Martha, uma mulher que enfrenta os dilemas da maternidade, do casamento e da autonomia pessoal. A obra revela os conflitos internos da protagonista e denuncia as limitações impostas às mulheres da época."

Caminho de pedras,Rachel de Queiroz,Romance,"Romance que retrata a trajetória de uma jovem nordestina em busca de independência e identidade. Com estilo direto e sensível, Rachel de Queiroz constrói uma personagem marcada pela luta contra as adversidades sociais e familiares."

O Cristo Cigano,Sophia de Mello Breyner Andresen,Poesia,"Poema épico que mistura elementos religiosos e míticos para narrar a figura de um Cristo errante, livre e marginal. A obra propõe uma releitura simbólica da espiritualidade, com forte carga lírica e crítica social"

As meninas,Lygia Fagundes Telles,Romance,"Três jovens universitárias compartilham um apartamento em São Paulo durante a ditadura militar. A narrativa entrelaça suas histórias, revelando conflitos pessoais, políticos e afetivos, num retrato profundo da juventude brasileira em tempos de repressão."

Balada de amor ao vento,Paulina Chiziane,Romance,"Romance moçambicano que acompanha a vida de uma mulher em meio a relações amorosas marcadas por desigualdade e violência. Com linguagem poética e crítica, a obra denuncia o machismo estrutural e celebra a força feminina."

